LABEL	VALUE
be.01	3930
have.03	1227
need.01	1215
remain.01	946
continue.01	920
do.02	712
take.01	556
work.01	465
support.01	427
like.02	409
contain.01	409
achieve.01	397
concern.02	386
provide.01	383
require.01	381
give.01	361
consider.01	336
allow.01	327
play.02	288
hope.01	283
contribute.01	266
present.01	258
respond.01	257
strengthen.01	257
adopt.01	252
receive.01	252
use.01	251
apply.02	246
represent.01	244
hold.04	238
wish.01	225
welcome.01	223
participate.01	220
propose.01	219
ensure.01	212
request.01	210
find.01	209
understand.01	209
constitute.01	204
live.01	202
put.01	202
know.01	192
begin.01	190
create.01	188
aim.02	188
increase.01	185
publish.01	177
resolve.01	173
promote.02	172
affect.01	172
base.02	171
have.02	171
help.01	170
want.01	168
improve.01	166
bring.01	165
develop.02	164
establish.01	158
note.01	158
believe.01	157
follow.02	155
come.01	155
seek.01	154
address.02	152
thank.01	151
relate.01	151
carry.03	150
recognize.01	147
meet.03	145
say.01	144
encourage.02	143
invite.01	140
seem.01	137
commit.01	137
submit.01	136
plan.01	135
see.01	134
conclude.02	132
expect.01	129
become.01	127
protect.01	127
stress.01	123
reduce.01	123
ask.01	121
recommend.01	119
call.03	118
express.01	116
share.01	115
include.01	115
deal.01	113
show.01	112
focus.01	111
pay.01	109
consist.01	109
lead.03	106
think.01	105
mention.01	99
determine.01	98
return.01	97
maintain.01	97
exist.01	97
try.01	96
attach.01	96
prevent.01	96
urge.01	95
obtain.01	95
suffer.01	94
set.01	94
define.01	93
depend.01	92
make.02	91
indicate.01	91
cover.01	91
condemn.01	91
deserve.01	90
act.02	90
respect.01	89
facilitate.01	89
offer.01	89
decide.01	88
raise.01	87
combat.01	87
reflect.01	86
leave.01	86
approve.01	85
cooperate.01	85
revise.01	83
limit.01	76
encourage.01	75
guarantee.01	75
devote.01	72
speak.01	71
register.02	71
amount.01	67
agree.01	67
exercise.01	67
reaffirm.01	66
change.01	66
impose.01	65
consider.02	65
manage.01	65
elect.01	65
accept.01	64
choose.01	64
ratify.01	63
serve.01	62
produce.01	62
finance.01	62
organize.01	61
sign.01	59
occupy.01	59
prepare.02	59
benefit.01	58
hear.01	57
proceed.01	57
vary.01	56
meet.01	56
threaten.01	56
describe.01	56
convince.01	56
force.01	56
build.01	55
amend.01	55
fall.01	55
displace.01	54
remind.01	52
intend.01	51
open.01	50
undertake.01	50
prohibit.01	50
add.02	49
identify.01	49
happen.01	49
mean.01	48
count.04	48
collect.01	48
exceed.01	47
belong.01	47
enter.01	47
extend.01	47
integrate.01	47
draw.02	47
launch.01	47
seize.01	47
cause.01	46
correspond.02	46
charge.05	46
distribute.01	45
claim.01	45
govern.01	44
resume.01	44
vote.01	44
join.01	44
eliminate.01	44
learn.01	43
involve.01	43
employ.01	43
control.01	43
study.01	41
avoid.01	41
stop.01	41
formulate.01	41
associate.01	40
inform.01	40
implement.01	40
estimate.01	40
negotiate.01	40
assess.01	40
appreciate.02	38
consolidate.01	38
pursue.01	38
complete.01	38
assume.01	38
age.01	38
translate.01	37
mobilize.01	37
tend.02	37
engage.01	37
occur.01	37
adapt.01	36
owe.01	36
defend.01	36
fill.01	36
arise.01	35
deploy.01	35
progress.01	35
regulate.01	35
coordinate.01	35
designate.01	35
appoint.01	35
replace.01	35
specify.01	34
die.01	34
explain.01	34
expose.01	34
reiterate.01	33
observe.01	33
acquire.01	33
realize.02	33
report.01	33
destroy.01	32
overcome.01	32
confirm.01	32
retain.01	32
lead.02	32
guide.01	31
state.01	31
complement.01	31
arrest.01	30
kill.01	30
expand.01	30
train.01	30
win.01	29
pronounce.01	29
succeed.01	28
reform.01	28
announce.01	28
enjoy.01	28
prove.01	28
transmit.01	28
justify.01	28
invest.01	28
place.01	28
lack.01	28
persist.01	27
mark.01	27
intervene.01	27
consult.01	27
analyze.01	27
allocate.01	27
suffice.01	27
discuss.01	26
attend.01	26
correct.01	26
accompany.01	26
preserve.01	26
intensify.01	26
lose.02	26
review.01	26
face.01	26
endorse.01	26
locate.01	26
monitor.01	25
advocate.01	25
appear.02	25
recruit.01	25
hamper.01	25
measure.01	25
accede.01	25
keep.02	24
reject.01	24
comply.01	24
bear.02	24
oppose.01	24
import.01	24
send.01	23
disseminate.01	23
reverse.01	23
accelerate.01	23
select.01	23
detail.01	23
summarize.01	23
transform.01	22
exclude.01	22
remedy.01	22
decrease.01	22
violate.01	22
go.04	22
pledge.01	21
fulfill.01	21
punish.01	21
chair.01	21
operate.01	21
update.01	21
suggest.01	21
restore.01	21
prevail.01	21
disaggregate.01	20
undermine.01	20
regret.01	20
emerge.01	20
possess.01	20
write.01	20
deplore.01	19
illustrate.01	19
generate.01	19
abstain.01	19
date.01	19
deteriorate.01	19
marry.01	19
demonstrate.01	19
prefer.01	19
separate.01	19
divide.02	18
combine.01	18
arrive.01	18
delete.01	17
refuse.01	17
release.01	17
sell.01	17
form.01	17
perpetuate.01	17
aggravate.01	17
move.01	17
evolve.01	16
spare.02	16
result.01	16
practice.01	16
honor.01	16
lend.01	16
mitigate.01	16
reside.01	16
risk.01	16
hand.02	16
last.01	15
devise.01	15
assign.01	15
withdraw.01	15
design.01	15
differ.02	15
detain.01	15
deprive.01	15
sit.01	15
issue.01	15
feel.01	14
read.01	14
unite.01	14
feed.01	14
introduce.02	14
exchange.01	14
decline.01	14
repeat.01	14
transfer.01	14
reserve.01	14
fear.01	13
strike.01	13
link.01	13
walk.01	13
close.01	13
ignore.01	13
verify.01	13
aspire.01	13
exploit.01	13
revive.01	13
deny.01	13
target.01	13
assume.02	13
abandon.01	13
incorporate.02	13
renounce.01	13
break.01	12
confer.02	12
rest.01	12
draft.01	12
emanate.01	12
purchase.01	12
precede.01	12
appeal.02	12
save.02	12
order.01	12
refine.01	12
dominate.01	12
concert.01	12
group.01	12
cross.02	11
reproduce.01	11
characterize.01	11
delay.01	11
deliver.01	11
postpone.01	11
list.01	11
attack.01	11
reveal.01	11
empower.01	11
lift.02	11
isolate.01	11
abduct.01	11
wage.01	11
reach.01	11
entrust.01	11
renew.01	10
expire.01	10
visit.01	10
deepen.01	10
influence.01	10
freeze.01	10
grow.01	10
hide.01	10
cite.01	10
endow.01	10
alleviate.01	10
contaminate.01	10
fight.01	10
disappear.01	10
suppress.01	10
recover.02	10
renumber.01	9
experience.01	9
communicate.01	9
listen.01	9
disperse.01	9
escape.01	9
refrain.01	9
inflict.01	9
teach.01	9
calculate.01	9
let.01	9
transport.01	9
compromise.01	9
accuse.01	9
explode.01	9
enroll.01	9
regard.01	9
weigh.04	9
record.01	9
structure.01	8
refer.02	8
administer.01	8
fuel.01	8
detect.01	8
discourage.01	8
forget.01	8
accumulate.01	8
suspend.01	8
convene.01	8
investigate.01	8
stimulate.01	8
insist.01	8
promulgate.01	8
weaken.01	8
streamline.01	8
infect.01	8
reconcile.01	8
spread.02	8
oversee.01	8
modernize.01	8
cancel.01	8
rent.01	8
perpetrate.01	8
finish.01	8
motivate.01	8
celebrate.02	7
testify.01	7
survive.01	7
root.02	7
manufacture.01	7
destabilize.01	7
interpret.01	7
marginalize.01	7
finalize.01	7
hold.01	7
tear.01	7
advise.01	7
bear.01	7
affiliate.01	7
prescribe.01	7
defy.01	7
subsidize.01	7
invoke.01	7
cultivate.01	7
harmonize.01	7
admit.01	7
stabilize.01	7
tolerate.01	7
crown.01	7
clarify.01	7
rebuild.01	7
accredit.01	6
prejudge.01	6
confiscate.01	6
export.01	6
spare.01	6
allege.01	6
inherit.01	6
defeat.01	6
complicate.01	6
display.01	6
replenish.01	6
flee.01	6
afflict.01	6
amount.02	6
sponsor.01	6
cover.02	6
generalize.01	6
compare.01	6
inspect.01	6
wonder.01	6
fail.01	6
push.01	6
install.01	6
denounce.01	6
contract.02	6
align.01	6
promise.01	6
turn.01	6
reimburse.01	6
lie.01	6
entail.01	5
distort.01	5
restrict.01	5
notify.01	5
diversify.01	5
spend.01	5
terrorize.01	5
discover.01	5
disrupt.01	5
dispel.01	5
reorganize.01	5
run.02	5
refute.01	5
liberalize.01	5
shape.01	5
deduct.01	5
offset.01	5
harm.01	5
smoke.02	5
steal.01	5
bless.01	5
assure.01	5
doubt.01	5
question.01	5
look.01	5
divorce.01	5
hesitate.01	5
consent.01	5
worsen.01	5
burn.01	5
simplify.01	5
slow.03	5
supervise.01	5
neglect.01	5
draw.03	5
convert.01	4
perceive.01	4
transcend.01	4
paralyze.01	4
total.01	4
comment.01	4
insert.01	4
globalize.01	4
pass.03	4
injure.01	4
refer.01	4
reopen.01	4
cost.01	4
restructure.01	4
enact.01	4
deposit.01	4
interview.01	4
confine.01	4
embody.01	4
co-exist.01	4
house.01	4
absorb.01	4
prevail.02	4
remember.01	4
trigger.01	4
rise.01	4
imprison.01	4
abolish.01	4
store.01	4
explore.01	4
suspect.01	4
emigrate.01	4
counter.01	4
rationalize.01	4
neutralize.01	4
fund.01	4
relax.01	4
dedicate.01	4
minimize.01	4
unify.01	4
adjust.01	4
double.01	4
interrupt.01	4
settle.03	4
overestimate.01	4
throw.01	4
commend.01	4
classify.01	4
thwart.01	4
enrich.01	4
treat.03	4
table.01	4
redeploy.01	4
return.02	4
redraft.01	4
plant.01	4
equip.01	4
acquit.01	4
revitalize.01	4
divert.01	4
compete.01	4
exacerbate.01	3
presuppose.01	3
rethink.01	3
widen.01	3
host.01	3
redefine.01	3
demand.01	3
print.01	3
resist.01	3
endanger.01	3
circulate.01	3
demolish.01	3
contest.01	3
harass.01	3
specialize.01	3
outline.01	3
constrain.01	3
rule.03	3
enlighten.01	3
sow.01	3
stipulate.01	3
degenerate.01	3
childbearing.01	3
rid.01	3
coincide.01	3
cohabit.01	3
resign.01	3
criminalize.01	3
test.01	3
number.01	3
resettle.01	3
mislead.01	3
drive.02	3
mandate.01	3
eat.01	3
moderate.01	3
surprise.01	3
arm.01	3
torture.01	3
grow.04	3
renovate.01	3
eradicate.01	3
raze.01	3
travel.01	3
challenge.01	3
safeguard.01	3
persecute.01	3
look.02	3
educate.01	3
incur.01	3
innovate.01	3
beat.01	3
surround.01	3
persevere.01	3
attest.01	3
access.01	3
pray.01	3
proclaim.01	3
shake.01	3
shock.01	3
borrow.01	3
contact.01	3
mix.01	3
annex.01	3
enhance.01	2
accentuate.01	2
codify.01	2
erase.01	2
indict.01	2
reconsider.01	2
post.01	2
harvest.01	2
confuse.01	2
ravage.01	2
preclude.01	2
balance.01	2
initiate.01	2
erode.01	2
chart.01	2
fish.01	2
schedule.01	2
reward.01	2
portray.01	2
refugee.01	2
overtake.01	2
dictate.01	2
protest.01	2
endure.01	2
validate.01	2
commemorate.01	2
consume.01	2
terminate.01	2
rush.01	2
accommodate.01	2
mask.01	2
assimilate.01	2
bury.01	2
devastate.01	2
demilitarize.01	2
demobilize.01	2
patent.01	2
fragment.01	2
equate.01	2
repatriate.01	2
manipulate.02	2
loot.01	2
opt.01	2
rely.01	2
invade.01	2
triumph.01	2
apprehend.01	2
omit.01	2
compensate.01	2
reassess.01	2
declare.02	2
reschedule.01	2
deceive.01	2
damage.01	2
film.01	2
distinguish.01	2
formalize.01	2
reclassify.01	2
presume.01	2
elapse.01	2
quantify.01	2
reintegrate.01	2
prosper.01	2
symbolize.01	2
inspire.01	2
automate.01	2
corrupt.01	2
systematize.01	2
shorten.01	2
recognise.01	2
recur.01	2
suppose.02	2
avail.01	2
reactivate.01	2
breastfeed.01	2
excavate.01	2
converge.01	1
impress.01	1
solve.01	1
station.01	1
bomb.01	1
perfect.01	1
contravene.01	1
colonize.01	1
materialize.01	1
call.01	1
interfere.01	1
abuse.01	1
deport.01	1
point.01	1
swallow.01	1
hinge.01	1
haunt.01	1
spray.01	1
migrate.01	1
speculate.01	1
save.01	1
bound.02	1
elaborate.01	1
appear.01	1
channel.01	1
democratize.01	1
bequeath.01	1
institutionalize.01	1
applaud.01	1
block.01	1
mourn.01	1
uproot.01	1
desert.01	1
privatize.01	1
exhume.01	1
maximize.01	1
legitimize.01	1
overshadow.01	1
deviate.01	1
navigate.01	1
dream.01	1
cut.04	1
recycle.01	1
intrude.01	1
demystify.01	1
disburse.01	1
triple.01	1
wash.01	1
catch.03	1
care.01	1
copy.01	1
archive.01	1
politicize.01	1
disturb.01	1
contradict.01	1
doom.01	1
massacre.01	1
delineate.01	1
impoverish.01	1
sing.01	1
renegotiate.01	1
conceive.01	1
disguise.01	1
configure.01	1
extinguish.01	1
enumerate.01	1
beg.01	1
transpose.01	1
assist.01	1
murder.01	1
engrave.01	1
heal.01	1
sacrifice.01	1
approach.01	1
diagnose.01	1
unmask.01	1
secure.01	1
inculcate.01	1
plunge.02	1
melt.01	1
market.01	1
unleash.01	1
plead.02	1
graduate.01	1
tow.01	1
improvise.01	1
waste.01	1
condition.01	1
sleep.01	1
worry.02	1
drill.01	1
clear.02	1
convict.01	1
deliberate.01	1
extradite.01	1
legislate.01	1
commission.01	1
reinvent.01	1
extract.01	1
commit.02	1
expel.01	1
ask.02	1
entitle.02	1
disclose.01	1
rewrite.01	1
superimpose.01	1
exempt.01	1
succeed.02	1
dig.01	1
liquidate.01	1
revoke.01	1
warn.01	1
defuse.01	1
earmark.01	1
outsource.01	1
flow.01	1
complain.01	1
scan.01	1
demonize.01	1
annihilate.01	1
drag.01	1
rehabilitate.01	1
dismiss.01	1
repair.01	1
defer.01	1
maim.01	1
invoice.01	1
imagine.01	1
shoot.02	1
lower.01	1
dare.01	1
transit.01	1
undo.01	1
preach.01	1
foil.01	1
detach.01	1
overburden.01	1
catch.04	1
reassure.01	1
miss.02	1
disarm.01	1
dismantle.01	1
afford.01	1
break.06	1
familiarize.01	1
spread.03	1
circumvent.01	1
hire.01	1
differentiate.01	1
hasten.01	1
intercept.01	1
deem.01	1
industrialize.01	1
synchronize.01	1
cling.01	1
experiment.01	1
rejoice.01	1
legalize.01	1
intimidate.01	1
banish.01	1
alarm.01	1
rescue.01	1
perish.01	1
appeal.01	1
criticise.01	1
vaccinate.01	1
contrast.01	1
standardize.01	1
exaggerate.01	1
debate.01	1
merge.01	1
follow.05	1
disappoint.01	1
deter.01	1
interact.01	1
inflate.01	1
park.01	1
discern.01	1
glorify.01	1
militarize.01	1
clean.01	1
augur.01	1
forgive.01	1
look.03	1
refocus.01	1
